Acquisition Date,Company,Business,Country,Price,Used as or integrated with:,Group,ParentCompany
05-Jun-07,PeakStream,Parallel processing, United States,0,Android,OS,Alphabet
19-Jun-07,Zenter,Presentation program, United States,0,Google Docs,Productivity,Alphabet
02-Jul-07,GrandCentral,Voice over IP, United States,45000000,Google Voice,Connectivity,Alphabet
09-Jul-07,Postini,Communications security, United States,625000000,Gmail,Connectivity,Alphabet
20-Jul-07,ImageAmerica,Aerial photography, United States,0,Google Maps,Search,Alphabet
27-Sep-07,Zingku,Social networking service, United States,0,Google Mobile,OS,Alphabet
09-Oct-07,Jaiku,Microblogging, Finland,0,Google Mobile,OS,Alphabet
30-Jul-08,Omnisio,Online video, United States,15000000,YouTube,Media,Alphabet
12-Sep-08,TNC,Weblog software, South Korea,0,Blogger,Search,Alphabet
05-Aug-09,On2,Video compression, United States,133000000,"WebM, YouTube",Media,Alphabet
16-Sep-09,reCAPTCHA,Security, United States,0,"Google Books, reCAPTCHA",Search,Alphabet
09-Nov-09,AdMob,Mobile advertising, United States,0,"DoubleClick, Invite Media",Business,Alphabet
09-Nov-09,Gizmo5,Voice over IP, United States,30000000,"Google Talk, Google Hangouts",Connectivity,Alphabet
23-Nov-09,Teracent,Online advertising, United States,0,AdSense,Business,Alphabet
04-Dec-09,AppJet,Collaborative real-time editor, United States,0,"Google Wave, Google Docs",Productivity,Alphabet
12-Feb-10,Aardvark,Social search, United States,50000000,Aardvark,Connectivity,Alphabet
17-Feb-10,reMail,Email search, United States,0,Gmail,Connectivity,Alphabet
01-Mar-10,Picnik,Photo editing, United States,0,Picasa,Search,Alphabet
05-Mar-10,DocVerse,Microsoft Office files sharing site, United States,25000000,Google Docs,Productivity,Alphabet
02-Apr-10,Episodic,Online video platform start-up, United States,0,YouTube,Media,Alphabet
12-Apr-10,Plink,Visual search engine, Ireland,0,Google Goggles,Search,Alphabet
20-Apr-10,Agnilux,Server CPUs, United States,0,Android,OS,Alphabet
27-Apr-10,LabPixies,Gadgets, Israel,0,"iGoogle, Android",OS,Alphabet
30-Apr-10,BumpTop,Desktop environment, Canada,30000000,Android,OS,Alphabet
18-May-10,Global IP Solutions,Video and audio compression, United States,68200000,WebRTC,OS,Alphabet
20-May-10,Simplify Media,Music streaming, United States,0,Android,OS,Alphabet
21-May-10,Ruba.com,Travel, United States,0,iGoogle,OS,Alphabet
03-Jun-10,Invite Media,Advertising, United States,81000000,DoubleClick,Business,Alphabet
16-Jul-10,Metaweb,Semantic search, United States,0,Google Search,Search,Alphabet
Aug-10,Zetawire,"Mobile payment, NFC", Canada,0,"Android, Google Wallet, Google Checkout",OS,Alphabet
04-Aug-10,Instantiations,Java/Eclipse/AJAX developer tools, United States,0,Google Web Toolkit,OS,Alphabet
05-Aug-10,Slide.com,Social gaming, United States,228000000,"Google+, Orkut, Google Play",Media,Alphabet
10-Aug-10,Jambool,Social Gold payment, United States,70000000,"Google+, Orkut",Connectivity,Alphabet
15-Aug-10,Like.com,Visual search engine, United States,100000000,Google Shopping,Connectivity,Alphabet
30-Aug-10,Angstro,Social networking service, United States,0,"Google, Google Alert",Search,Alphabet
30-Aug-10,SocialDeck,Social gaming, Canada,0,"Google, Google+",Connectivity,Alphabet
13-Sep-10,Quiksee,Online video, Israel,10000000,Google Maps,Search,Alphabet
28-Sep-10,Plannr,Schedule management, United States,0,Google+,Connectivity,Alphabet
01-Oct-10,BlindType,Touch typing, Greece,0,Android,OS,Alphabet
03-Dec-10,Phonetic Arts,Speech synthesis, United Kingdom,0,"Google Voice, Google Translate",Search,Alphabet
03-Dec-10,Widevine Technologies,DRM, United States,0,Google TV,Media,Alphabet
13-Jan-11,eBook Technologies,E-book, United States,0,Google Books,Media,Alphabet
25-Jan-11,SayNow,Voice recognition, United States,0,Google Voice,Connectivity,Alphabet
01-Mar-11,Zynamics,Security, Germany,0,Project Zero,Innovation,Alphabet
07-Mar-11,BeatThatQuote.com,Price comparison service, United Kingdom,65000000,Google Shopping,Connectivity,Alphabet
07-Mar-11,Next New Networks,Online video, United States,0,YouTube,Media,Alphabet
16-Mar-11,Green Parrot Pictures,Digital video, Ireland,0,YouTube,Media,Alphabet
08-Apr-11,PushLife,Service provider, Canada,25000000,Google Play,Media,Alphabet
26-Apr-11,TalkBin,Mobile software, United States,0,Android,OS,Alphabet
23-May-11,Sparkbuy,Product search, United States,0,Google Shopping,Connectivity,Alphabet
03-Jun-11,PostRank,Social media analytics service, Canada,0,Google+ Google Analytics,Business,Alphabet
09-Jun-11,Admeld,Online advertising, United States,400000000,"DoubleClick, Invite Media",Business,Alphabet
18-Jun-11,SageTV,Media center, United States,0,"Google TV, Google Fiber, Android TV",Media,Alphabet
08-Jul-11,Punchd,Loyalty program, United States,0,Google Offers,Search,Alphabet
21-Jul-11,Fridge,Social groups, United States,0,Google+,Connectivity,Alphabet
23-Jul-11,PittPatt,Facial recognition system, United States,0,Android,OS,Alphabet
01-Aug-11,Dealmap,One deal a day service, United States,0,Google Offers,Search,Alphabet
15-Aug-11,Motorola Mobility,Mobile device manufacturer, United States,12500000000,"Android, Google TV, Android TV, Patent portfolio",Media,Alphabet
07-Sep-11,Zave Networks,Digital coupons, United States,0,Google Offers,Search,Alphabet
08-Sep-11,Zagat,Restaurant reviews, United States,151000000,"Google Places, Google Maps",Search,Alphabet
19-Sep-11,DailyDeal,One deal a day service, Germany,114000000,Google Offers,Search,Alphabet
11-Oct-11,SocialGrapple,Social media analytics service, Canada,0,Google+ Google Analytics,Business,Alphabet
10-Nov-11,Apture,Instantaneous search, United States,0,Google Search,Search,Alphabet
14-Nov-11,Katango,Social circle organization, United States,0,Google+,Connectivity,Alphabet
09-Dec-11,RightsFlow,Music rights management, United States,0,YouTube,Media,Alphabet
13-Dec-11,Clever Sense,Local recommendations app, United States,0,Google Maps,Search,Alphabet
16-Mar-12,Milk,Software company, United States,0,Google+,Connectivity,Alphabet
02-Apr-12,TxVia,Online payments, United States,0,"Google Wallet, Google Checkout",Organization,Alphabet
04-Jun-12,Meebo,Social networking, United States,100000000,Google+,Connectivity,Alphabet
05-Jun-12,Quickoffice,Mobile office suite, United States,0,Google Docs,Productivity,Alphabet
20-Jul-12,Sparrow,Mobile apps, France,25000000,Gmail,Connectivity,Alphabet
01-Aug-12,Wildfire Interactive,Social media marketing, United States,450000000,"Google, Google+",Connectivity,Alphabet
07-Sep-12,VirusTotal.com,Security, Spain,0,Chronicle,Productivity,Alphabet
17-Sep-12,Nik Software,Photography, United States,0,"Google, Android",OS,Alphabet
01-Oct-12,Viewdle,Facial recognition, Ukraine,45000000,Android,OS,Alphabet
28-Nov-12,Incentive Targeting,Digital coupons, United States,0,Google Offers,Search,Alphabet
30-Nov-12,BufferBox,Package delivery, Canada,17000000,"Google Shopping, Android",OS,Alphabet
06-Feb-13,Channel Intelligence,Product ecommerce, United States,125000000,Google Shopping,Connectivity,Alphabet
12-Mar-13,DNNresearch,Deep Neural Networks, Canada,0,"Google, X",Innovation,Alphabet
15-Mar-13,Talaria Technologies,Cloud computing, United States,0,Google Cloud,Productivity,Alphabet
12-Apr-13,Behavio,Social Prediction, United States,0,Google Now,Search,Alphabet
23-Apr-13,Wavii,Natural Language Processing, United States,30000000,Google Knowledge Graph,Search,Alphabet
23-May-13,Makani Power,Airborne wind turbines, United States,0,X,Innovation,Alphabet
11-Jun-13,Waze,GPS navigation software, Israel,966000000,"Google Maps , Waze",Search,Alphabet
16-Sep-13,Bump,Mobile software, United States,0,Google Photos,Organization,Alphabet
02-Oct-13,Flutter,Gesture recognition technology, United States,40000000,"Google, Android, X",Innovation,Alphabet
22-Oct-13,FlexyCore,DroidBooster App for Android, France,23000000,Android,OS,Alphabet
02-Dec-13,Schaft,"Robotics, humanoid robots", Japan,0,X,Innovation,Alphabet
03-Dec-13,Industrial Perception,"Robotic arms, computer vision", United States,0,X,Innovation,Alphabet
04-Dec-13,Redwood Robotics,Robotic arms, United States,0,X,Innovation,Alphabet
05-Dec-13,Meka Robotics,Robots, United States,0,X,Innovation,Alphabet
06-Dec-13,Holomni,Robotic wheels, United States,0,X,Innovation,Alphabet
07-Dec-13,Bot & Dolly,Robotic cameras, United States,0,X,Innovation,Alphabet
08-Dec-13,Autofuss,Ads and Design, United States,0,X,Innovation,Alphabet
04-Jan-14,Bitspin,Timely App for Android,  Switzerland,0,Android,OS,Alphabet
13-Jan-14,Nest Labs,Home automation, United States,3200000000,Nest Labs,Devices,Alphabet
15-Jan-14,Impermium,Internet security, United States,0,Project Zero,Innovation,Alphabet
26-Jan-14,DeepMind Technologies,Artificial intelligence, United Kingdom,625000000,Google DeepMind,Research,Alphabet
16-Feb-14,SlickLogin,Internet Security, Israel,0,Project Zero,Innovation,Alphabet
21-Feb-14,spider.io,Anti-click fraud, United Kingdom,0,"DoubleClick, Adsense",Business,Alphabet
12-Mar-14,GreenThrottle,Gadgets, United States,0,Android,OS,Alphabet
14-Apr-14,Titan Aerospace,High-altitude UAVs, United States,0,Project Loon,Innovation,Alphabet
02-May-14,Rangespan,E-commerce, United Kingdom,0,Google Shopping,Connectivity,Alphabet
06-May-14,Adometry,Online advertising attribution, United States,0,Google Analytics AdSense,Business,Alphabet
07-May-14,Appetas,Restaurant website creation, United States,0,Google My Business,Business,Alphabet
07-May-14,Stackdriver,Cloud computing, United States,0,Google Cloud Platform,Productivity,Alphabet
07-May-14,MyEnergy,Online energy usage monitoring, United States,0,Nest Labs,Devices,Alphabet
16-May-14,Quest Visual,Augmented reality, United States,0,Google Translate,Search,Alphabet
19-May-14,Divide,Mobile device management, United States,0,Android for Work,OS,Alphabet
10-Jun-14,Skybox Imaging,Satellite, United States,500000000,"Google Maps, Project Loon",Innovation,Alphabet
19-Jun-14,mDialog,Online advertising, Canada,0,DoubleClick,Business,Alphabet
19-Jun-14,Alpental Technologies,Wireless, United States,0,Google,Search,Alphabet
20-Jun-14,Dropcam,Home monitoring, United States,555000000,Nest Labs,Devices,Alphabet
25-Jun-14,Appurify,Automated application testing, United States,0,Android,OS,Alphabet
01-Jul-14,Songza,Music streaming, United States,0,"Google Play, Android TV",Media,Alphabet
23-Jul-14,drawElements,Graphics compatibility testing, Finland,0,Android,OS,Alphabet
06-Aug-14,Emu,IM client, United States,0,"Google Hangouts, Google Now",Connectivity,Alphabet
06-Aug-14,Director,Mobile video, United States,0,"YouTube, Android",Media,Alphabet
17-Aug-14,Jetpac,"Artificial intelligence, image recognition", United States,0,Picasa,Search,Alphabet
23-Aug-14,Gecko Design,Mechanical design, United States,0,X,Innovation,Alphabet
26-Aug-14,Zync Render,Cloud-based visual effects software, United States,0,Google Cloud Platform,Productivity,Alphabet
10-Sep-14,Lift Labs,Liftware, United States,0,Verily,Research,Alphabet
11-Sep-14,Polar,Social polling, United States,0,Google+,Connectivity,Alphabet
21-Oct-14,Firebase,Application development platform, United States,0,Google Cloud Platform,Productivity,Alphabet
23-Oct-14,Dark Blue Labs & Vision Factory,Artificial intelligence, United Kingdom,10000000,Google DeepMind,Research,Alphabet
24-Oct-14,Revolv,Home automation, United States,0,Nest Labs,Devices,Alphabet
19-Nov-14,RelativeWave,Mobile software prototyping, United States,0,Android,OS,Alphabet
17-Dec-14,Vidmaker,Video editing, United States,0,YouTube,Media,Alphabet
04-Feb-15,Launchpad Toys,Child-friendly apps, United States,0,YouTube for Kids,Media,Alphabet
08-Feb-15,Odysee,Multimedia sharing and storage, United States,0,Google+,Connectivity,Alphabet
23-Feb-15,Softcard,Mobile payments, United States,0,Android Pay,Organization,Alphabet
24-Feb-15,Red Hot Labs,App advertising and discovery, United States,0,Google Play,Organization,Alphabet
16-Apr-15,Thrive Audio,Surround sound technology, Ireland,0,Google Cardboard,Research,Alphabet
16-Apr-15,Skillman & Hackett,Virtual reality software, United States,0,Tilt Brush,Misc.,Alphabet
04-May-15,Timeful,Mobile software, United States,0,"Google Inbox, Google Calendar",Organization,Alphabet
28-May-15,Pulse.io,Mobile app optimizer, United States,0,Android,OS,Alphabet
18-Jun-15,Agawi,Mobile application streaming, United States,0,"Android, Google Play",OS,Alphabet
21-Jul-15,Pixate,Mobile software prototyping, United States,0,Android,OS,Alphabet
21-Sep-15,Oyster,E-book subscriptions, United States,0,Google Play Books,Media,Alphabet
30-Sep-15,Jibe Mobile,Rich Communication Services, United States,0,Android,OS,Alphabet
